Replacement Policy = FIFO
-------------------------------------
Page   Content of Frames
----   -----------------
18     18 
30     18 30 
27     18 30 27 
18     18 30 27 
23     18 30 27 23 
23     18 30 27 23 
29     18 30 27 23 29 
29     18 30 27 23 29 
30     18 30 27 23 29 
15     18 30 27 23 29 15 
30     18 30 27 23 29 15 
16     18 30 27 23 29 15 16 
12     18 30 27 23 29 15 16 12 
17     18 30 27 23 29 15 16 12 17 
12     18 30 27 23 29 15 16 12 17 
12     18 30 27 23 29 15 16 12 17 
12     18 30 27 23 29 15 16 12 17 
27     18 30 27 23 29 15 16 12 17 
16     18 30 27 23 29 15 16 12 17 
27     18 30 27 23 29 15 16 12 17 
28     18 30 27 23 29 15 16 12 17 28 
12     18 30 27 23 29 15 16 12 17 28 
23     18 30 27 23 29 15 16 12 17 28 
23     18 30 27 23 29 15 16 12 17 28 
29     18 30 27 23 29 15 16 12 17 28 
22 F   22 30 27 23 29 15 16 12 17 28 
29     22 30 27 23 29 15 16 12 17 28 
29     22 30 27 23 29 15 16 12 17 28 
22     22 30 27 23 29 15 16 12 17 28 
21 F   22 21 27 23 29 15 16 12 17 28 
22     22 21 27 23 29 15 16 12 17 28 
12     22 21 27 23 29 15 16 12 17 28 
12     22 21 27 23 29 15 16 12 17 28 
17     22 21 27 23 29 15 16 12 17 28 
12     22 21 27 23 29 15 16 12 17 28 
12     22 21 27 23 29 15 16 12 17 28 
24 F   22 21 24 23 29 15 16 12 17 28 
21     22 21 24 23 29 15 16 12 17 28 
25 F   22 21 24 25 29 15 16 12 17 28 
22     22 21 24 25 29 15 16 12 17 28 
25     22 21 24 25 29 15 16 12 17 28 
25     22 21 24 25 29 15 16 12 17 28 
28     22 21 24 25 29 15 16 12 17 28 
28     22 21 24 25 29 15 16 12 17 28 
20 F   22 21 24 25 20 15 16 12 17 28 
20     22 21 24 25 20 15 16 12 17 28 
16     22 21 24 25 20 15 16 12 17 28 
21     22 21 24 25 20 15 16 12 17 28 
21     22 21 24 25 20 15 16 12 17 28 
21     22 21 24 25 20 15 16 12 17 28 
11 F   22 21 24 25 20 11 16 12 17 28 
21     22 21 24 25 20 11 16 12 17 28 
25     22 21 24 25 20 11 16 12 17 28 
21     22 21 24 25 20 11 16 12 17 28 
28     22 21 24 25 20 11 16 12 17 28 
19 F   22 21 24 25 20 11 19 12 17 28 
30 F   22 21 24 25 20 11 19 30 17 28 
30     22 21 24 25 20 11 19 30 17 28 
30     22 21 24 25 20 11 19 30 17 28 
12 F   22 21 24 25 20 11 19 30 12 28 
12     22 21 24 25 20 11 19 30 12 28 
29 F   22 21 24 25 20 11 19 30 12 29 
15 F   15 21 24 25 20 11 19 30 12 29 
15     15 21 24 25 20 11 19 30 12 29 
20     15 21 24 25 20 11 19 30 12 29 
15     15 21 24 25 20 11 19 30 12 29 
15     15 21 24 25 20 11 19 30 12 29 
15     15 21 24 25 20 11 19 30 12 29 
15     15 21 24 25 20 11 19 30 12 29 
15     15 21 24 25 20 11 19 30 12 29 
17 F   15 17 24 25 20 11 19 30 12 29 
15     15 17 24 25 20 11 19 30 12 29 
20     15 17 24 25 20 11 19 30 12 29 
17     15 17 24 25 20 11 19 30 12 29 
17     15 17 24 25 20 11 19 30 12 29 
13 F   15 17 13 25 20 11 19 30 12 29 
13     15 17 13 25 20 11 19 30 12 29 
14 F   15 17 13 14 20 11 19 30 12 29 
14     15 17 13 14 20 11 19 30 12 29 
11     15 17 13 14 20 11 19 30 12 29 
11     15 17 13 14 20 11 19 30 12 29 
14     15 17 13 14 20 11 19 30 12 29 
13     15 17 13 14 20 11 19 30 12 29 
14     15 17 13 14 20 11 19 30 12 29 
14     15 17 13 14 20 11 19 30 12 29 
19     15 17 13 14 20 11 19 30 12 29 
29     15 17 13 14 20 11 19 30 12 29 
19     15 17 13 14 20 11 19 30 12 29 
-------------------------------------
Number of page faults = 14
