Replacement Policy = LRU
-------------------------------------
Page   Content of Frames
----   -----------------
18     18 
30     18 30 
27     18 30 27 
18     18 30 27 
23     18 30 27 23 
23     18 30 27 23 
29     18 30 27 23 29 
29     18 30 27 23 29 
30     18 30 27 23 29 
15     18 30 27 23 29 15 
30     18 30 27 23 29 15 
16     18 30 27 23 29 15 16 
12     18 30 27 23 29 15 16 12 
17     18 30 27 23 29 15 16 12 17 
12     18 30 27 23 29 15 16 12 17 
12     18 30 27 23 29 15 16 12 17 
12     18 30 27 23 29 15 16 12 17 
27     18 30 27 23 29 15 16 12 17 
16     18 30 27 23 29 15 16 12 17 
27     18 30 27 23 29 15 16 12 17 
28     18 30 27 23 29 15 16 12 17 28 
12     18 30 27 23 29 15 16 12 17 28 
23     18 30 27 23 29 15 16 12 17 28 
23     18 30 27 23 29 15 16 12 17 28 
29     18 30 27 23 29 15 16 12 17 28 
22 F   22 30 27 23 29 15 16 12 17 28 
29     22 30 27 23 29 15 16 12 17 28 
29     22 30 27 23 29 15 16 12 17 28 
22     22 30 27 23 29 15 16 12 17 28 
21 F   22 30 27 23 29 21 16 12 17 28 
22     22 30 27 23 29 21 16 12 17 28 
12     22 30 27 23 29 21 16 12 17 28 
12     22 30 27 23 29 21 16 12 17 28 
17     22 30 27 23 29 21 16 12 17 28 
12     22 30 27 23 29 21 16 12 17 28 
12     22 30 27 23 29 21 16 12 17 28 
24 F   22 24 27 23 29 21 16 12 17 28 
21     22 24 27 23 29 21 16 12 17 28 
25 F   22 24 27 23 29 21 25 12 17 28 
22     22 24 27 23 29 21 25 12 17 28 
25     22 24 27 23 29 21 25 12 17 28 
25     22 24 27 23 29 21 25 12 17 28 
28     22 24 27 23 29 21 25 12 17 28 
28     22 24 27 23 29 21 25 12 17 28 
20 F   22 24 20 23 29 21 25 12 17 28 
20     22 24 20 23 29 21 25 12 17 28 
16 F   22 24 20 16 29 21 25 12 17 28 
21     22 24 20 16 29 21 25 12 17 28 
21     22 24 20 16 29 21 25 12 17 28 
21     22 24 20 16 29 21 25 12 17 28 
11 F   22 24 20 16 11 21 25 12 17 28 
21     22 24 20 16 11 21 25 12 17 28 
25     22 24 20 16 11 21 25 12 17 28 
21     22 24 20 16 11 21 25 12 17 28 
28     22 24 20 16 11 21 25 12 17 28 
19 F   22 24 20 16 11 21 25 12 19 28 
30 F   22 24 20 16 11 21 25 30 19 28 
30     22 24 20 16 11 21 25 30 19 28 
30     22 24 20 16 11 21 25 30 19 28 
12 F   22 12 20 16 11 21 25 30 19 28 
12     22 12 20 16 11 21 25 30 19 28 
29 F   29 12 20 16 11 21 25 30 19 28 
15 F   29 12 15 16 11 21 25 30 19 28 
15     29 12 15 16 11 21 25 30 19 28 
20 F   29 12 15 20 11 21 25 30 19 28 
15     29 12 15 20 11 21 25 30 19 28 
15     29 12 15 20 11 21 25 30 19 28 
15     29 12 15 20 11 21 25 30 19 28 
15     29 12 15 20 11 21 25 30 19 28 
15     29 12 15 20 11 21 25 30 19 28 
17 F   29 12 15 20 17 21 25 30 19 28 
15     29 12 15 20 17 21 25 30 19 28 
20     29 12 15 20 17 21 25 30 19 28 
17     29 12 15 20 17 21 25 30 19 28 
17     29 12 15 20 17 21 25 30 19 28 
13 F   29 12 15 20 17 21 13 30 19 28 
13     29 12 15 20 17 21 13 30 19 28 
14 F   29 12 15 20 17 14 13 30 19 28 
14     29 12 15 20 17 14 13 30 19 28 
11 F   29 12 15 20 17 14 13 30 19 11 
11     29 12 15 20 17 14 13 30 19 11 
14     29 12 15 20 17 14 13 30 19 11 
13     29 12 15 20 17 14 13 30 19 11 
14     29 12 15 20 17 14 13 30 19 11 
14     29 12 15 20 17 14 13 30 19 11 
19     29 12 15 20 17 14 13 30 19 11 
29     29 12 15 20 17 14 13 30 19 11 
19     29 12 15 20 17 14 13 30 19 11 
-------------------------------------
Number of page faults = 17
