Replacement Policy = OPTIMAL
-------------------------------------
Page   Content of Frames
----   -----------------
18     18 
30     18 30 
27     18 30 27 
18     18 30 27 
23     18 30 27 23 
23     18 30 27 23 
29     18 30 27 23 29 
29     18 30 27 23 29 
30     18 30 27 23 29 
15     18 30 27 23 29 15 
30     18 30 27 23 29 15 
16     18 30 27 23 29 15 16 
12     18 30 27 23 29 15 16 12 
17     18 30 27 23 29 15 16 12 17 
12     18 30 27 23 29 15 16 12 17 
12     18 30 27 23 29 15 16 12 17 
12     18 30 27 23 29 15 16 12 17 
27     18 30 27 23 29 15 16 12 17 
16     18 30 27 23 29 15 16 12 17 
27     18 30 27 23 29 15 16 12 17 
28     18 30 27 23 29 15 16 12 17 28 
12     18 30 27 23 29 15 16 12 17 28 
23     18 30 27 23 29 15 16 12 17 28 
23     18 30 27 23 29 15 16 12 17 28 
29     18 30 27 23 29 15 16 12 17 28 
22 F   22 30 27 23 29 15 16 12 17 28 
29     22 30 27 23 29 15 16 12 17 28 
29     22 30 27 23 29 15 16 12 17 28 
22     22 30 27 23 29 15 16 12 17 28 
21 F   22 30 21 23 29 15 16 12 17 28 
22     22 30 21 23 29 15 16 12 17 28 
12     22 30 21 23 29 15 16 12 17 28 
12     22 30 21 23 29 15 16 12 17 28 
17     22 30 21 23 29 15 16 12 17 28 
12     22 30 21 23 29 15 16 12 17 28 
12     22 30 21 23 29 15 16 12 17 28 
24 F   22 30 21 24 29 15 16 12 17 28 
21     22 30 21 24 29 15 16 12 17 28 
25 F   22 30 21 25 29 15 16 12 17 28 
22     22 30 21 25 29 15 16 12 17 28 
25     22 30 21 25 29 15 16 12 17 28 
25     22 30 21 25 29 15 16 12 17 28 
28     22 30 21 25 29 15 16 12 17 28 
28     22 30 21 25 29 15 16 12 17 28 
20 F   20 30 21 25 29 15 16 12 17 28 
20     20 30 21 25 29 15 16 12 17 28 
16     20 30 21 25 29 15 16 12 17 28 
21     20 30 21 25 29 15 16 12 17 28 
21     20 30 21 25 29 15 16 12 17 28 
21     20 30 21 25 29 15 16 12 17 28 
11 F   20 30 21 25 29 15 11 12 17 28 
21     20 30 21 25 29 15 11 12 17 28 
25     20 30 21 25 29 15 11 12 17 28 
21     20 30 21 25 29 15 11 12 17 28 
28     20 30 21 25 29 15 11 12 17 28 
19 F   20 30 19 25 29 15 11 12 17 28 
30     20 30 19 25 29 15 11 12 17 28 
30     20 30 19 25 29 15 11 12 17 28 
30     20 30 19 25 29 15 11 12 17 28 
12     20 30 19 25 29 15 11 12 17 28 
12     20 30 19 25 29 15 11 12 17 28 
29     20 30 19 25 29 15 11 12 17 28 
15     20 30 19 25 29 15 11 12 17 28 
15     20 30 19 25 29 15 11 12 17 28 
20     20 30 19 25 29 15 11 12 17 28 
15     20 30 19 25 29 15 11 12 17 28 
15     20 30 19 25 29 15 11 12 17 28 
15     20 30 19 25 29 15 11 12 17 28 
15     20 30 19 25 29 15 11 12 17 28 
15     20 30 19 25 29 15 11 12 17 28 
17     20 30 19 25 29 15 11 12 17 28 
15     20 30 19 25 29 15 11 12 17 28 
20     20 30 19 25 29 15 11 12 17 28 
17     20 30 19 25 29 15 11 12 17 28 
17     20 30 19 25 29 15 11 12 17 28 
13 F   13 30 19 25 29 15 11 12 17 28 
13     13 30 19 25 29 15 11 12 17 28 
14 F   13 14 19 25 29 15 11 12 17 28 
14     13 14 19 25 29 15 11 12 17 28 
11     13 14 19 25 29 15 11 12 17 28 
11     13 14 19 25 29 15 11 12 17 28 
14     13 14 19 25 29 15 11 12 17 28 
13     13 14 19 25 29 15 11 12 17 28 
14     13 14 19 25 29 15 11 12 17 28 
14     13 14 19 25 29 15 11 12 17 28 
19     13 14 19 25 29 15 11 12 17 28 
29     13 14 19 25 29 15 11 12 17 28 
19     13 14 19 25 29 15 11 12 17 28 
-------------------------------------
Number of page faults = 9
